"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"DD PURINA ONE ML 03LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DD PURINA ONE TRU INST GF 06LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DD ALPO 04LB","Dry Dog","Retailer","Fareway","Alpo",0,0
"DD ALPO 04LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DD BEYOND SM-BRD/SPR FOOD 03-4LB","Dry Dog","ROM","Fareway","Beyond",0,0
"DD BELLA 03LB","Dry Dog","Retailer","Fareway","Bella",0,0
"DD BELLA 03LB","Dry Dog","ROM","Fareway","Bella",0,0
"CW FANCY FEAST MEDLEYS 03OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"DD PUPPY CHOW 04.4LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD PUPPY CHOW 04.4LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DT DENTALIFE ACTIVEFRESH DT 24.1OZ","Dog Treats","Retailer","Fareway","Dentalife",0,0
"DT DENTALIFE ACTIVEFRESH DT 24.1OZ","Dog Treats","ROM","Fareway","Dentalife",0,0
"DD MOIST AND MEATY 072OZ","Dry Dog","Retailer","Fareway","Moist & Meaty",0,0
"DD MOIST AND MEATY 072OZ","Dry Dog","ROM","Fareway","Moist & Meaty",0,0
"DD DOG CHOW LX 13.5LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 04.4LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 04.4LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD PURINA ONE TRU INST 15LB","Dry Dog","Retailer","Fareway","Purina One",0,0
"DD PURINA ONE TRU INST 15LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DD PRO PLAN SPORT PERFORM 37.5LB","Dry Dog","ROM","Fareway","Pro Plan",0,0
"DD PURINA ONE ML 16.5LB","Dry Dog","Retailer","Fareway","Purina One",0,0
"DD PURINA ONE ML 16.5LB","Dry Dog","ROM","Fareway","Purina One",0,0
"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Retailer","Fareway","Friskies",0,0
"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","ROM","Fareway","Friskies",0,0
"DD PURINA ONE TRU INST 27.5LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DW ALPO 13.0-13.2OZ","Wet Dog","ROM","Fareway","Alpo",0,0
"CW FANCY FEAST ML 03OZ  12CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FRISKIES PREMIUM 03.5OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"DD DOG CHOW GREEN BG 04LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"CT DENTALIFE DNT 01.8OZ","Cat Treats","ROM","Fareway","Dentalife",0,0
"DD MOIST AND MEATY 036OZ","Dry Dog","ROM","Fareway","Moist & Meaty",0,0
"DD DOG CHOW GREEN BG 14LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD ALPO 14LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DD PURINA ONE TRU INST GF 12.5LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DD PURINA ONE TRU INST 12LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DT PRIME JERKY  MT 05OZ","Dog Treats","ROM","Fareway","Prime",0,0
"DD PURINA ONE TRU INST 40LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DT ALPO DT 01.6OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT ALPO DT 21OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT ALPO VARIETY SNAPS CR 32OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DT ALPO VARIETY SNAPS CR 60OZ","Dog Treats","ROM","Fareway","Alpo",0,0
