"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM247CWCNPPRISTINE","Wet Cat","CW C&P PRISTINE 03OZ CAN","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM249CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM24CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM24CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM24FRISKIESML","Dry Cat","DC AO PREMIUM","NPP","Retailer","Brookshire",0,"Friskies"
"ITEM250CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ 12CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM252CWAOPREMIUM","Wet Cat","CW AO PREMIUM","NPP","ROM","Brookshire",1,"Friskies"
"ITEM253CWFRISKIESFAV","Wet Cat","CW FRISKIES FAV 05.5OZ 24CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM254CWFRISKIESLILGRILSLURPUR","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM255CWFRISKIESLILGRILSLURPUR","Wet Cat","CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ","NPP","ROM","Brookshire",2,"Friskies"
"ITEM256CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ 18CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM257CWFRISKIESPREMIUM","Wet Cat","CW FRISKIES PREMIUM 05.5OZ 24CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM258CWFRISKIESPREMIUM","Wet Cat","CW FRISKIES PREMIUM 03.5OZ","NPP","Retailer","Brookshire",0,"Friskies"
