"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","WB_Comp_Interaction_RP_1","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","Model_flag"
"ITEM1109DDBEYONDSMP_Retailer","Dry Dog","Target","DD BEYOND SMP9 14.5-15.5LB",-0.575430642553189,0.1,-0.516753154713908,-0.425531306824337,0.1,0,4.2737623632225,6.0658181289456,-0.0202136839553881,-0.0899307967757178,-0.170106218752874,-0.12137156451983,-0.00034985563118093,0,0,0,0,0,0,2.83638655325791,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"ITEM1109DDBEYONDSMP_ROM","Dry Dog","Target","DD BEYOND SMP9 14.5-15.5LB",-1.28075045583379,2.50425519604489,0,0,0,7.55271375805619,0,0,0,0,0,0,-0.0165386214450083,0,0,0,0,0,0,10.251825576079,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1111CLTIDYCATSBREEZEENHANCEDPELLETS_ROM","Litter","Target","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB",0,0,-2.34334630996627,-0.152977493180906,0,10,10,10,0,0,0,0,0.115149116333312,NA,0,NA,NA,0,0,2.66589307626,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1113CLTIDYCATSCLUMPLW_ROM","Litter","Target","CL TIDY CATS CLUMP LW 19.5LB",-0.575584579786464,3.46391587165615,-0.162389995779191,-0.61603869806418,0,0,10,0,0.251961940589393,0,0,0,0,NA,0,NA,NA,0,0,11.2577078503461,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1115DTPIONEERWOMANCR_ROM","Dog Treats","Target","DT PIONEER WOMAN CR 09OZ",-2.49356258740191,1.31583818263211,-0.412869191690838,-1.01517452959161,0,10,0,0,0,0,0,0,-0.234793176537303,0,0,0,0,0,0,8.8302841785354,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1116CLTIDYCATSCLUMPLW_ROM","Litter","Target","CL TIDY CATS CLUMP LW 06LB",-2.5,1.75472871353848,-0.700565893302007,-0.389095308729535,0,10,10,10,-0.273705886888064,0,0,0,0,NA,0,NA,NA,0,0,14.575924382681,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1116DDPURINAONETRUINSTGF_ROM","Dry Dog","Target","DD PURINA ONE TRU INST GF 03LB",-2.5,0,-4.42406613095017,-3.45390607803069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.860372478331,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1116DTPIONEERWOMANMT_ROM","Dog Treats","Target","DT PIONEER WOMAN MT 16OZ",0,0.436161232985612,-1.3641795917877,-0.952637799532829,10,10,0,10,0,0,0,0,-0.0396379605875058,0,0,0,0,0,0,6.93393346315597,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1117CLTIDYCATSNATSTRGNONCLUMP_ROM","Litter","Target","CL TIDY CATS NAT STRG CLUMP 14LB",-2.18014323187717,1.63257057633593,-0.12737061836537,-0.80145050313393,0,10,10,0,0,0,0,0,0,NA,0,NA,NA,0,0,12.7783143940909,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1117DDALPO_ROM","Dry Dog","Target","DD ALPO 01LB",0,2.19045388258843,-1.33588314032604,-2.4764747646803,0,0,0,10,-5.3866436500923,0,0,0,-0.0118041665350828,0,-9.02437005544422,0,0,0,0,14.0691602593869,"ROM",0,0,0,-7.08803895850279,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
