"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2"
1113216843,"ROM","DW ALPO 13.2OZ 24CT","ITEM526DWALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS DOG FOOD-WET TYPE BOX 84 OUNCE","Target","ALPO",NA,0,0.0000243182571163489,0,0,0,0.0000315021252908828,0,NA,NA,NA
1113216848,"ROM","DT ALPO DT 21OZ","ITEM889DTALPODT","Dog Treats","PURINA ALPO T BONZ DOG TREAT PORTERHOUSE BAG 22 OUNCE","Target","ALPO",NA,0,0.160054807749177,0.281311738904329,0.132150182905318,0.0432319278967075,0.0172483447456117,0.00863614231593204,0.00509902050815462,0.00176290410067149,0.000898253162347535
1113216853,"ROM","DD ALPO 47-50LB","ITEM1465DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 50 POUND","Target","ALPO",NA,0,0.403818387247616,0.41946707221308,0.403724941836233,0.400577146999499,0.280495625360593,0.14999936443472,0.17331755157254,0.166666666666667,0.143709132715384
1113216855,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Target","ALPO",NA,0,0.188648556374503,0.179515815126348,0.108994747102454,0.147641056751501,0.180061891034989,0.128118868445199,0.181484400604487,0.321925730356499,0.084229184193636
1113216857,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Target","ALPO",NA,0,0.180781123297306,0.177949123669301,0.10914803150448,0.180488083811415,0.156255235418229,0.078420222264082,0.0623973693662612,0.069237287880874,0.179337776164279
1113216859,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET CAN 13 OUNCE","Target","ALPO",NA,0,0.122403244707664,0.119964347436888,0.0930329099200729,0.108914924836453,0.140879979372039,0.13564214032016,0.25231063844694,0.10693351617994,0.148952952860685
1113216861,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13 OUNCE","Target","ALPO",NA,0,0.140250521194759,0.154935621430291,0.216424278324429,0.162896653297812,0.151529981728372,0.185578416588868,0.180923871483855,0.145839941448426,0.322189360400829
1113216863,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13 OUNCE","Target","ALPO",NA,0,0.0993321057505824,0.101629315705966,0.140936024318887,0.121062053577522,0.149007431780631,0.226963838382504,0.148967012056596,0.040133820339514,0.0420175051216213
1113216865,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13 OUNCE","Target","ALPO",NA,0,0.0660875984839142,0.0709813643732927,0.0804827398575463,0.0780302917386339,0.0716294245257598,0.0958555206758695,0.0624716581732278,0.136536883170131,0.0812961753398328
1113216867,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13 OUNCE","Target","ALPO",NA,0,0.141288576182015,0.134063791509824,0.162769419345871,0.131577244782831,0.098450081761825,0.0659954977091489,0.047861133261527,0.0320347286998476,0.01416638743143
1113216869,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND WHOLESOME VEGGIE AC WET CAN 13 OUNCE","Target","ALPO",NA,0,0.0509770889481074,0.0545776578262287,0.08401599379101,0.0675579595467748,0.0517255833643681,0.080791913334471,0.0610658778659933,0.142401117335183,0.0337885339904522
1113216871,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Target","ALPO",NA,0,0.367612285113315,0.354033319931695,0.31057998695063,0.372529880578164,0.377489273014749,0.32312998795065,0.369133616381598,0.507996877688294,0.689633767846058
1113216874,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Target","ALPO",NA,0,0.413146087228498,0.415248691480714,0.36274465489194,0.471313433295835,0.343588956081964,0.378997210329534,0.524614346142449,0.422414662415609,0
1113216875,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 156 OUNCE","Target","ALPO",NA,0,0.21875725136008,0.230598811166181,0.326491289267982,0.156134301149294,0.278896913507927,0.297872801719816,0.106252037475953,0.064608696409964,0.275881095247948
1113216876,"ROM","DW ALPO 13.2OZ 24CT","ITEM526DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 312 OUNCE","Target","ALPO",NA,0,0.999975681742884,0.999955835458642,1,1,0.999968497874709,1,NA,NA,NA
1113216879,"ROM","DT ALPO VARIETY SNAPS CR 128OZ","ITEM894DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT ALL SIZES BEEF CHICKEN LIVER LAMB BOX 32 OUNCE X4","Target","ALPO",NA,0,NA,1,1,1,1,1,1,1,NA
1113216880,"ROM","DD ALPO 28-31LB","ITEM1464DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 31 POUND","Target","ALPO",NA,0,0,0,0,0,0,0.295669113560313,0.53607059457591,0.58585274065785,0.546833357561661
1113216937,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE AND RIBEYE STEAK WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.0000538780006729873,0.0000279226940407911,0.00000881703471276027,0.00000127686638855611,0.00000118685007807848,0.00000192395889913558,0,0.00001990521019474,0
1113216940,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO PRIME CLASSICS WET DOG FOOD ADULT BEEF PLUS CHEESE WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000214557294689914,0.000183221768472101,0.0000963280058259885,0.00000113499234538321,0.00000197808346346413,0.00000384791779827115,0,0.0000398104203894801,0.000377770331504799
1113217073,"ROM","DD ALPO 14LB","ITEM1223DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 15.4 POUND","Target","ALPO",NA,0,0.0000298827150251516,0.00000744279488991912,0.00000309637543728547,0.00000462524246784699,0.0000022156831724882,0.00000105955624970523,0.00000817810633265449,0,0
1113217086,"ROM","DT T BONZ MT 04.5OZ","ITEM122TBONZMT","Dog Treats","PURINA ALPO T BONZ DOG TREAT FILET MIGNON BAG 4.5 OUNCE","Target","ALPO",NA,0,0.11069884911695,0.109804747997488,0.0970910545084388,0.104496813732441,0.126208242585487,0.144847953593983,0.155394318842564,0.213012591041847,0.261673617771578
1113217088,"ROM","DT T BONZ MT 04.5OZ","ITEM122TBONZMT","Dog Treats","PURINA ALPO T BONZ DOG TREAT RIBEYE BAG 4.5 OUNCE","Target","ALPO",NA,0,0.273123336300597,0.273290175769604,0.284017861328153,0.27797636733234,0.289993558462051,0.299584145537925,0.309354798559166,0.215247358958577,0.13285503111447
1113217088,"Retailer","DT T BONZ MT 04.5OZ","ITEM122TBONZMT","Dog Treats","PURINA ALPO T BONZ DOG TREAT RIBEYE BAG 4.5 OUNCE","Target","ALPO",0.700594786729858,0.1,0.1875,0,0.916666666666667,NA,NA,1,NA,NA,NA
